2026-07-17T08:50:37.712+08:00  INFO 19564 --- [positioningManagement] [main] c.z.p.p.PositioningManagementApplication : Starting PositioningManagementApplication using Java 17.0.14 with PID 19564 (D:\javaProject\positioningManagement\target\classes started by SY100836 in D:\javaProject\positioningManagement)
2026-07-17T08:50:37.728+08:00 DEBUG 19564 --- [positioningManagement] [main] c.z.p.p.PositioningManagementApplication : Running with Spring Boot v3.5.16, Spring v6.2.19
2026-07-17T08:50:37.729+08:00  INFO 19564 --- [positioningManagement] [main] c.z.p.p.PositioningManagementApplication : The following 1 profile is active: "dev"
2026-07-17T08:50:38.778+08:00  INFO 19564 --- [positioningManagement] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-17T08:50:38.782+08:00  INFO 19564 --- [positioningManagement] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-17T08:50:38.827+08:00  INFO 19564 --- [positioningManagement] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 28 ms. Found 0 Redis repository interfaces.
2026-07-17T08:50:39.363+08:00  WARN 19564 --- [positioningManagement] [main] trationDelegate$BeanPostProcessorChecker : Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [projectingArgumentResolverBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-07-17T08:50:39.365+08:00  WARN 19564 --- [positioningManagement] [main] trationDelegate$BeanPostProcessorChecker : Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAopConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAopConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [projectingArgumentResolverBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-07-17T08:50:39.374+08:00  WARN 19564 --- [positioningManagement] [main] trationDelegate$BeanPostProcessorChecker : Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsJakartaHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [projectingArgumentResolverBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-07-17T08:50:40.043+08:00  INFO 19564 --- [positioningManagement] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8010 (http)
2026-07-17T08:50:40.083+08:00  INFO 19564 --- [positioningManagement] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-07-17T08:50:40.085+08:00  INFO 19564 --- [positioningManagement] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.55]
2026-07-17T08:50:40.267+08:00  INFO 19564 --- [positioningManagement] [main] o.a.c.c.C.[Tomcat].[localhost].[/api]    : Initializing Spring embedded WebApplicationContext
2026-07-17T08:50:40.269+08:00  INFO 19564 --- [positioningManagement] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2447 ms
2026-07-17T08:50:41.485+08:00  INFO 19564 --- [positioningManagement] [main] com.zaxxer.hikari.HikariDataSource       : master - Starting...
2026-07-17T08:50:41.850+08:00  INFO 19564 --- [positioningManagement] [main] com.zaxxer.hikari.pool.HikariPool        : master - Added connection com.mysql.cj.jdbc.ConnectionImpl@5df7a065
2026-07-17T08:50:41.851+08:00  INFO 19564 --- [positioningManagement] [main] com.zaxxer.hikari.HikariDataSource       : master - Start completed.
2026-07-17T08:50:41.853+08:00  INFO 19564 --- [positioningManagement] [main] com.zaxxer.hikari.HikariDataSource       : slave - Starting...
2026-07-17T08:50:43.248+08:00  INFO 19564 --- [positioningManagement] [main] com.zaxxer.hikari.pool.HikariPool        : slave - Added connection com.mysql.cj.jdbc.ConnectionImpl@4e9e0c6
2026-07-17T08:50:43.249+08:00  INFO 19564 --- [positioningManagement] [main] com.zaxxer.hikari.HikariDataSource       : slave - Start completed.
2026-07-17T08:50:43.249+08:00  INFO 19564 --- [positioningManagement] [main] c.b.d.d.DynamicRoutingDataSource         : dynamic-datasource - add a datasource named [slave] success
2026-07-17T08:50:43.250+08:00  INFO 19564 --- [positioningManagement] [main] c.b.d.d.DynamicRoutingDataSource         : dynamic-datasource - add a datasource named [master] success
2026-07-17T08:50:43.250+08:00  INFO 19564 --- [positioningManagement] [main] c.b.d.d.DynamicRoutingDataSource         : dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2026-07-17T08:50:44.380+08:00  WARN 19564 --- [positioningManagement] [main] c.b.m.core.injector.DefaultSqlInjector   : class com.zns.positioning.positioningmanagement.entity.GpsDeviceAdditional ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2026-07-17T08:50:45.630+08:00  INFO 19564 --- [positioningManagement] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8010 (http) with context path '/api'
2026-07-17T08:50:45.649+08:00  INFO 19564 --- [positioningManagement] [main] c.z.p.p.PositioningManagementApplication : Started PositioningManagementApplication in 8.594 seconds (process running for 9.449)
